0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.040816326530612082e-02,2.933798217773432473e-04,1.466899108886716291e-02
4.081632653061224164e-02,2.607708314180368601e-03,7.510962034463866677e-02
6.122448979591836593e-02,8.153756053115225610e-03,1.613339155835562255e-01
8.163265306122448328e-02,1.753564720673070343e-02,2.594693527228980612e-01
1.020408163265306006e-01,3.091148222689008365e-02,3.591314671366518940e-01
1.224489795918367319e-01,4.809508023587680953e-02,4.522423086918279655e-01
1.428571428571428492e-01,6.863129057295437596e-02,5.325004814754999982e-01
1.632653061224489666e-01,9.185947302887445542e-02,5.951441275134176090e-01
1.836734693877550839e-01,1.169716985467902925e-01,6.368452675245807049e-01
2.040816326530612013e-01,1.430686022756861575e-01,6.556628702846922785e-01
2.244897959183673186e-01,1.692141968318518486e-01,6.510220931995361893e-01
2.448979591836734637e-01,1.944902271057003529e-01,6.237051426481738936e-01
2.653061224489795533e-01,2.180503239792777048e-01,5.758472718886223918e-01
2.857142857142856984e-01,2.391740703721086658e-01,5.109350396633249858e-01
3.061224489795917880e-01,2.573210293340645327e-01,4.338055581207415079e-01
3.265306122448979331e-01,2.721847558470005257e-01,3.506461709005984084e-01
3.469387755102040782e-01,2.837468017049342150e-01,2.689943168411356167e-01
3.673469387755101678e-01,2.923307174908066908e-01,1.977374730568713102e-01
3.877551020408163129e-01,2.986560533548888174e-01,1.471131315776543769e-01
4.081632653061224025e-01,3.038923593090022135e-01,1.287087899819067127e-01
4.285714285714285476e-01,3.090167549661262947e-01,1.303716341706593895e-01
4.489795918367346372e-01,3.152497180059429804e-01,1.670402013938196151e-01
4.693877551020407823e-01,3.238041198767797613e-01,2.313715083934304584e-01
4.897959183673469274e-01,3.355162909786962855e-01,3.145329090595520571e-01
5.102040816326530726e-01,3.509227162380453846e-01,4.094185220439088835e-01
5.306122448979591066e-01,3.703128788212764477e-01,5.101309901296379179e-01
5.510204081632652517e-01,3.937680413403639168e-01,6.116762614716267921e-01
5.714285714285713969e-01,4.211917690614631615e-01,7.097845703219304303e-01
5.918367346938775420e-01,4.523356256713171875e-01,8.008059307068912114e-01
6.122448979591835760e-01,4.868220617047789300e-01,8.816494590947586696e-01
6.326530612244897211e-01,5.241656802614219623e-01,9.497483669356386882e-01
6.530612244897958663e-01,5.637935714166284473e-01,1.003039913726832433e+00
6.734693877551020114e-01,6.050651166649219093e-01,1.039954029602745189e+00
6.938775510204081565e-01,6.472914948785301048e-01,1.059406928466288367e+00
7.142857142857141906e-01,6.897550222939348163e-01,1.060797571252168670e+00
7.346938775510203357e-01,7.317284017013800934e-01,1.044005741475856119e+00
7.551020408163264808e-01,7.724939230163118120e-01,1.009391022211320932e+00
7.755102040816326259e-01,8.113626385743275549e-01,9.577922696818474968e-01
7.959183673469386600e-01,8.476935258398382578e-01,8.905273552620102118e-01
8.163265306122448051e-01,8.809126442667232215e-01,8.093930488568608084e-01
8.367346938775509502e-01,9.105322897725445230e-01,7.166649740621274800e-01
8.571428571428570953e-01,9.361701485185089933e-01,6.150975977672250572e-01
8.775510204081632404e-01,9.575684507565940251e-01,5.079242347358847720e-01
8.979591836734692745e-01,9.746131250335620111e-01,3.988570574317811812e-01
9.183673469387754196e-01,9.873529528159443736e-01,2.920871065354226914e-01
9.387755102040815647e-01,9.960187235025118602e-01,1.922843002672655344e-01
9.591836734693877098e-01,1.001042389757093920e+00,1.045974419430077268e-01
9.795918367346938549e-01,1.003076223090742181e+00,3.465422578179540303e-02
1.000000000000000000e+00,1.003011969630606570e+00,-1.143875878103099708e-02
