NO_OF_FRAMES	3761
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:52:43	6368.60483747
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
2401	40.00000	645.838	307.792	225.906	646.661	322.193	170.277	670.248	307.685	166.720	412.728	293.744	158.213	370.517	299.280	-68.122	325.641	183.109	-410.424	333.641	214.753	-371.291	342.186	183.794	-362.624	413.929	129.507	-440.981	362.251	152.132	-505.783	367.206	178.895	-520.419	447.744	-781.733	192.943	539.364	-750.259	190.266
2402	40.01667	645.792	307.764	225.785	646.641	322.138	170.158	670.214	307.641	166.613	412.731	293.797	158.015	370.612	299.476	-68.389	326.033	182.782	-410.369	334.073	214.534	-371.403	342.634	183.647	-362.629	414.232	128.889	-440.641	362.445	151.642	-505.748	367.291	178.335	-520.434	448.816	-780.174	193.656	539.344	-750.275	190.275
2403	40.03333	645.742	307.754	225.660	646.554	322.099	170.017	670.119	307.603	166.493	412.692	293.779	157.811	370.625	299.605	-68.663	326.425	182.032	-410.165	334.566	213.932	-371.339	343.196	183.048	-362.525	414.627	128.111	-440.370	362.693	150.722	-505.579	367.465	177.348	-520.354	447.748	-781.753	192.943	539.368	-750.217	190.290
2404	40.05000	645.630	307.743	225.541	646.427	322.070	169.894	669.985	307.580	166.359	412.623	293.704	157.629	370.573	299.677	-68.889	326.888	180.653	-409.782	335.069	212.853	-371.157	343.783	182.035	-362.041	415.290	126.516	-439.408	362.915	148.991	-505.040	367.704	175.662	-520.065	447.658	-781.882	192.888	539.351	-750.276	190.275
2405	40.06667	645.458	307.733	225.401	646.249	322.065	169.756	669.847	307.607	166.245	412.486	293.557	157.476	370.424	299.696	-69.092	327.306	178.729	-408.993	335.604	211.370	-370.748	344.467	180.630	-361.389	416.095	124.425	-438.122	363.274	146.375	-504.255	367.578	172.954	-519.278	447.748	-781.758	192.948	539.357	-750.263	190.275
2406	40.08333	645.219	307.720	225.252	645.978	322.032	169.592	669.632	307.653	166.107	412.306	293.342	157.364	370.208	299.641	-69.221	327.710	176.096	-407.793	336.178	209.324	-370.113	345.225	178.748	-360.311	416.920	121.313	-436.001	363.253	142.764	-502.770	367.342	169.138	-518.163	447.762	-781.714	192.968	539.353	-750.253	190.275
2407	40.10000	644.927	307.720	225.095	645.613	321.972	169.404	669.338	307.685	165.927	412.059	293.098	157.287	369.915	299.629	-69.280	328.009	172.705	-406.061	336.781	206.651	-369.068	346.099	176.139	-358.743	417.727	117.804	-433.910	363.105	138.243	-500.959	366.632	164.317	-516.561	447.773	-781.654	192.978	539.348	-750.277	190.268
2408	40.11667	644.595	307.685	224.910	645.244	321.923	169.233	669.008	307.702	165.749	411.720	292.770	157.234	369.477	299.663	-69.348	328.395	168.505	-403.869	337.355	203.201	-367.614	347.161	172.957	-356.850	418.450	113.474	-431.169	362.264	132.739	-498.567	365.665	158.598	-514.575	447.752	-781.715	192.954	539.364	-750.258	190.266
2409	40.13333	644.280	307.688	224.782	644.842	321.906	169.082	668.688	307.762	165.621	411.394	292.418	157.141	368.975	299.816	-69.364	328.831	163.508	-401.023	337.937	198.914	-365.587	348.253	168.971	-354.536	419.633	108.579	-427.932	361.326	126.376	-495.458	364.356	152.114	-512.182	447.370	-782.306	192.672	539.355	-750.246	190.270
2410	40.15000	643.869	307.654	224.621	644.383	321.884	168.931	668.289	307.863	165.487	411.090	292.102	157.120	368.424	300.074	-69.223	329.393	157.575	-397.600	338.651	193.825	-362.998	349.393	164.347	-351.737	421.328	102.828	-423.855	360.884	119.330	-491.903	363.026	144.745	-509.087	447.792	-781.696	192.963	539.353	-750.264	190.287
