NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
578	9.61667	533.878	-778.872	193.114	622.470	-742.321	190.883	551.511	-94.448	-75.101	521.598	-132.162	-64.866	573.836	175.260	50.748	530.318	-96.376	-99.788	828.839	251.209	125.035	548.910	120.562	-142.116	801.408	256.887	121.733	790.788	245.228	177.191	537.663	-243.119	-56.031	540.364	-243.962	-84.056	604.375	-199.924	-39.197
579	9.63333	533.126	-779.958	192.650	622.485	-742.330	190.882	547.232	-96.255	-74.747	517.091	-133.820	-64.528	571.141	171.561	51.187	525.786	-97.911	-99.317	826.522	246.854	124.527	545.418	118.775	-141.621	799.063	252.521	121.194	788.478	241.010	176.668	531.244	-244.759	-55.843	533.541	-246.043	-83.428	600.277	-201.760	-39.217
580	9.65000	532.758	-780.398	192.458	622.472	-742.348	190.872	542.825	-99.237	-72.830	512.560	-136.680	-62.433	568.119	167.322	51.784	521.152	-100.723	-97.184	823.865	242.402	123.809	541.499	115.554	-140.635	796.404	248.072	120.526	785.972	236.783	176.064	525.100	-247.613	-54.070	525.810	-249.511	-80.718	596.435	-204.505	-37.311
581	9.66667	532.768	-780.382	192.468	622.471	-742.338	190.868	538.262	-103.229	-69.428	508.063	-140.612	-58.796	564.765	162.601	52.460	516.439	-104.648	-93.604	820.926	237.955	122.951	537.296	110.878	-139.339	793.460	243.595	119.753	783.197	232.549	175.379	519.336	-251.462	-50.287	518.836	-253.956	-76.277	592.814	-207.973	-33.558
582	9.68333	532.713	-780.483	192.410	622.494	-742.315	190.883	533.858	-108.070	-64.722	503.633	-145.377	-53.685	561.283	157.428	53.059	511.760	-109.579	-88.711	817.739	233.488	122.081	532.753	105.061	-137.807	790.259	239.066	118.930	780.222	228.321	174.672	513.646	-256.141	-44.588	512.737	-259.220	-69.892	589.367	-212.014	-27.985
583	9.70000	532.979	-780.146	192.591	622.461	-742.362	190.879	529.599	-113.544	-58.932	499.447	-150.712	-47.235	557.681	151.736	53.622	507.323	-115.283	-82.685	814.296	229.023	121.218	528.091	98.125	-136.093	786.822	234.569	118.182	776.993	224.093	174.006	508.390	-261.348	-37.035	506.912	-265.114	-61.763	586.151	-216.467	-20.870
584	9.71667	532.969	-780.140	192.575	622.476	-742.343	190.875	525.722	-119.621	-52.278	495.612	-156.475	-39.610	553.972	145.661	54.263	503.216	-121.683	-75.722	810.633	224.576	120.458	523.312	90.183	-134.064	783.095	230.032	117.447	773.495	219.826	173.358	503.574	-266.835	-27.679	501.566	-271.419	-51.891	583.302	-221.349	-12.400
585	9.73333	532.807	-780.404	192.452	622.470	-742.344	190.875	522.271	-126.287	-44.815	492.180	-162.843	-31.155	550.098	139.147	55.135	499.492	-128.734	-68.043	806.715	220.200	119.771	518.407	81.376	-131.603	779.124	225.488	116.803	769.803	215.575	172.826	499.137	-272.806	-16.880	496.684	-278.224	-40.530	581.070	-226.517	-2.992
586	9.75000	533.097	-779.945	192.662	622.503	-742.310	190.891	519.075	-133.589	-36.506	489.199	-170.029	-21.905	546.135	132.277	56.026	496.096	-136.531	-59.436	802.612	215.865	119.143	513.440	71.647	-128.770	775.018	221.022	116.270	765.930	211.302	172.346	495.378	-279.455	-5.473	492.319	-285.700	-28.558	579.698	-231.973	7.379
587	9.76667	532.768	-780.464	192.436	622.474	-742.341	190.867	516.208	-141.750	-27.367	486.704	-178.150	-12.075	542.314	124.635	57.065	493.034	-145.056	-50.038	798.411	211.575	118.557	508.342	61.010	-125.650	770.761	216.624	115.809	761.953	207.078	171.959	492.125	-287.082	6.201	488.501	-294.046	-16.087	579.129	-237.731	18.389
