NO_OF_FRAMES	4591
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:56:08	6573.69303513
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
554	9.21667	688.414	436.981	219.271	688.919	449.246	163.159	711.599	432.995	159.147	455.010	408.176	147.760	420.382	390.717	-53.177	398.019	347.851	-424.775	398.404	369.588	-378.218	411.350	338.859	-378.034	486.261	300.730	-457.145	439.661	336.470	-532.094	437.447	369.007	-541.972	503.835	-794.459	192.392	596.998	-765.392	189.908
555	9.23333	688.554	436.862	219.379	689.145	449.316	163.323	711.763	432.977	159.263	455.277	408.360	147.618	421.011	390.347	-53.347	398.287	346.468	-424.648	398.897	368.501	-378.236	411.772	337.733	-377.926	486.502	299.096	-457.105	440.057	334.295	-531.988	438.124	366.719	-541.981	503.785	-794.538	192.344	596.990	-765.402	189.898
556	9.25000	688.631	436.745	219.490	689.252	449.340	163.475	711.856	433.003	159.371	455.406	408.480	147.350	421.595	389.812	-53.650	398.474	344.880	-424.622	399.292	367.091	-378.328	412.042	336.273	-377.903	486.537	297.106	-457.397	439.930	332.010	-531.864	438.408	364.382	-541.965	503.809	-794.527	192.360	596.979	-765.413	189.897
557	9.26667	688.672	436.595	219.587	689.294	449.335	163.603	711.870	432.956	159.454	455.477	408.501	147.012	422.043	389.271	-54.035	398.460	343.024	-424.607	399.659	365.386	-378.402	412.489	332.508	-374.761	486.581	294.800	-457.977	439.828	329.653	-532.019	438.414	361.990	-542.107	503.810	-794.508	192.377	596.966	-765.425	189.894
558	9.28333	688.720	436.478	219.684	689.345	449.349	163.707	711.874	432.909	159.508	455.518	408.437	146.568	422.421	388.587	-54.491	398.406	340.871	-424.643	400.802	362.863	-378.932	412.663	330.482	-374.839	488.326	294.636	-462.002	439.360	327.167	-532.169	438.017	359.449	-542.186	503.786	-794.559	192.363	596.987	-765.402	189.908
559	9.30000	688.686	436.406	219.767	689.345	449.416	163.831	711.857	432.975	159.612	455.515	408.313	146.236	422.741	387.803	-54.943	398.256	338.456	-424.562	401.113	358.531	-375.674	412.469	330.213	-377.932	488.102	291.934	-462.316	438.699	324.349	-532.187	437.547	356.632	-542.278	503.860	-794.465	192.389	596.975	-765.411	189.900
560	9.31667	688.597	436.328	219.833	689.289	449.423	163.916	711.819	433.013	159.676	455.452	408.158	145.902	423.002	386.950	-55.310	398.062	335.850	-424.379	401.192	356.167	-375.678	412.496	327.781	-377.908	487.895	289.140	-462.589	438.201	321.207	-532.211	437.050	353.411	-542.320	503.890	-794.453	192.396	596.994	-765.390	189.909
561	9.33333	688.492	436.214	219.901	689.242	449.436	164.033	711.765	433.018	159.768	455.348	407.916	145.618	423.189	386.056	-55.574	397.745	333.111	-424.231	401.141	353.695	-375.613	412.315	325.333	-377.684	487.613	286.129	-462.679	437.765	317.730	-532.063	436.610	349.808	-542.360	503.958	-794.266	192.479	597.000	-765.413	189.894
562	9.35000	688.385	436.111	219.971	689.170	449.424	164.122	711.663	433.001	159.849	455.211	407.667	145.373	423.208	385.182	-55.828	397.439	330.240	-424.098	400.989	351.180	-375.682	412.056	322.698	-377.421	487.185	282.764	-462.403	437.195	313.964	-531.828	436.095	345.954	-542.220	503.964	-794.307	192.468	596.990	-765.397	189.891
563	9.36667	688.240	436.025	220.026	689.076	449.456	164.237	711.564	433.021	159.931	455.038	407.392	145.126	423.044	384.397	-56.067	397.026	327.243	-423.725	400.734	348.534	-375.555	411.624	319.996	-377.123	486.640	279.069	-461.944	436.649	310.014	-531.328	435.678	341.839	-541.993	503.977	-794.317	192.467	596.972	-765.397	189.919
