NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
1437	23.93333	514.720	-777.504	192.553	606.229	-743.433	191.047	426.015	-61.982	-341.161	389.518	-81.008	-368.626	489.427	91.358	61.422	407.889	-37.759	-348.326	755.407	123.604	118.698	458.681	87.577	-167.462	728.933	132.396	114.682	716.931	126.680	170.886	382.617	-138.796	-459.223	367.824	-119.322	-467.484	nan	nan	nan
1438	23.95000	514.734	-777.499	192.552	606.238	-743.418	191.044	427.238	-70.886	-330.250	390.532	-91.900	-355.928	489.015	91.388	62.628	408.671	-47.406	-338.698	754.868	123.682	118.841	458.818	88.011	-165.601	728.333	132.332	114.836	716.439	126.471	171.085	383.289	-155.309	-442.601	369.046	-136.182	-452.353	nan	nan	nan
1439	23.96667	514.777	-777.439	192.581	606.228	-743.393	191.061	428.456	-80.576	-317.709	391.761	-103.607	-341.562	488.535	91.187	63.775	409.442	-58.012	-327.608	754.367	123.836	118.978	458.921	87.816	-163.426	727.765	132.328	115.004	715.956	126.299	171.241	383.802	-172.395	-424.182	370.476	-153.993	-434.997	nan	nan	nan
1440	23.98333	514.804	-777.400	192.608	606.240	-743.404	191.060	429.822	-91.087	-303.550	393.001	-115.932	-325.674	488.050	90.630	64.835	410.385	-69.598	-314.851	753.955	124.017	119.042	458.739	86.994	-161.077	727.275	132.342	115.081	715.517	126.191	171.336	385.875	-190.680	-402.528	371.559	-172.556	-415.658	nan	nan	nan
1441	24.00000	514.714	-777.505	192.565	606.239	-743.412	191.070	431.501	-102.150	-287.799	394.658	-129.027	-307.292	487.572	89.699	65.852	411.110	-81.307	-302.207	753.497	124.233	119.078	458.469	85.023	-158.292	726.814	132.401	115.172	715.126	126.124	171.425	387.930	-209.148	-378.858	372.861	-192.696	-390.807	460.822	-189.701	-369.602
1442	24.01667	514.754	-777.463	192.577	606.255	-743.395	191.070	433.441	-113.689	-270.360	396.590	-142.331	-286.979	487.082	88.405	66.741	412.623	-94.268	-286.220	753.044	124.535	119.140	457.796	82.154	-155.533	726.267	132.548	115.285	714.756	126.124	171.527	390.082	-228.003	-352.098	375.331	-212.582	-365.855	460.830	-208.017	-344.202
1443	24.03333	514.753	-777.476	192.587	606.241	-743.424	191.055	435.500	-125.543	-251.618	398.999	-156.068	-264.866	486.484	86.761	67.469	414.296	-107.907	-268.888	752.571	124.938	119.217	456.871	78.047	-152.606	725.754	132.764	115.390	714.321	126.187	171.672	393.243	-247.760	-322.487	378.271	-232.792	-338.302	463.064	-225.852	-317.245
1444	24.05000	514.735	-777.541	192.553	606.244	-743.410	191.061	437.715	-137.943	-231.634	402.320	-170.022	-241.342	485.839	84.644	68.084	416.065	-122.122	-250.025	752.108	125.428	119.288	455.752	72.523	-149.574	725.231	133.047	115.509	713.930	126.317	171.777	396.705	-266.572	-291.319	381.422	-253.261	-307.891	465.762	-243.751	-289.286
1445	24.06667	514.951	-777.163	192.733	606.236	-743.434	191.066	440.309	-150.562	-210.407	404.925	-183.932	-217.428	485.074	82.055	68.456	418.026	-136.821	-229.772	751.691	125.977	119.256	454.506	65.302	-146.369	724.770	133.450	115.579	713.616	126.566	171.809	401.009	-284.762	-258.188	385.539	-273.775	-275.280	471.504	-260.375	-258.570
1446	24.08333	514.767	-777.458	192.568	606.236	-743.432	191.061	443.208	-162.853	-188.243	408.818	-197.863	-191.627	483.600	78.906	68.739	420.375	-151.491	-208.401	751.343	126.609	119.146	452.586	57.084	-143.091	724.345	133.894	115.513	713.349	126.908	171.766	406.063	-301.990	-222.001	390.538	-293.595	-240.049	475.535	-276.247	-227.144
1447	24.10000	515.004	-777.077	192.749	606.254	-743.392	191.065	446.599	-174.772	-165.311	412.895	-210.665	-164.466	482.719	74.932	68.817	423.077	-165.930	-186.048	750.952	127.353	119.042	450.363	47.367	-139.701	723.919	134.435	115.438	713.077	127.345	171.704	410.772	-317.335	-182.246	394.946	-311.325	-201.661	480.540	-290.827	-192.610
1448	24.11667	514.759	-777.442	192.580	606.238	-743.416	191.049	450.148	-186.402	-141.843	417.316	-222.679	-136.743	481.744	70.149	69.130	426.068	-180.140	-162.874	750.466	128.196	118.875	447.767	36.051	-135.904	723.496	135.075	115.416	712.849	127.832	171.690	415.805	-330.267	-141.206	399.827	-326.812	-162.240	486.460	-303.740	-156.783
