NO_OF_FRAMES	2252
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:44:43	5888.89264541
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1570	26.15000	635.797	160.548	260.395	630.642	174.776	204.432	656.486	165.183	198.920	413.636	75.180	111.328	413.495	133.468	-93.134	361.960	44.547	-452.384	371.891	67.110	-407.456	377.321	35.974	-406.366	448.403	-10.638	-495.513	398.881	37.101	-552.195	398.451	61.086	-560.630	441.582	-793.571	193.717	528.496	-756.456	189.770
1571	26.16667	635.791	160.782	260.372	630.681	175.015	204.421	656.536	165.444	198.907	413.621	75.829	111.335	413.988	134.400	-93.125	361.144	45.087	-452.076	371.325	67.571	-407.182	376.679	36.398	-406.217	447.573	-10.242	-495.699	397.940	37.162	-552.016	397.619	61.370	-560.375	441.597	-793.483	193.741	528.481	-756.479	189.768
1572	26.18333	635.823	161.043	260.369	630.724	175.295	204.402	656.593	165.713	198.906	413.584	76.433	111.309	414.477	135.064	-93.155	360.198	45.163	-451.705	370.741	67.616	-406.890	375.854	36.323	-405.853	446.086	-11.196	-495.344	396.412	36.409	-551.695	396.142	60.820	-560.220	441.596	-793.532	193.735	528.478	-756.469	189.769
1573	26.20000	635.861	161.299	260.362	630.827	175.582	204.366	656.656	166.006	198.901	413.601	76.872	111.313	414.804	135.384	-93.240	359.045	44.567	-451.199	370.156	67.175	-406.510	375.076	35.797	-405.386	444.136	-12.997	-494.827	394.108	34.886	-551.231	394.107	59.250	-560.033	441.626	-793.506	193.744	528.464	-756.505	189.762
1574	26.21667	635.875	161.561	260.364	630.861	175.863	204.389	656.708	166.294	198.910	413.620	77.227	111.364	414.845	135.431	-93.302	357.810	43.155	-450.473	369.426	66.069	-406.076	374.170	34.553	-404.813	442.023	-15.444	-494.435	392.101	32.653	-550.716	391.934	56.884	-559.627	441.585	-793.566	193.706	528.476	-756.496	189.766
1575	26.23333	635.884	161.832	260.380	630.870	176.169	204.403	656.763	166.619	198.947	413.605	77.370	111.424	414.714	135.286	-93.363	356.486	40.895	-449.634	368.463	64.007	-405.503	373.197	32.497	-404.112	440.241	-18.194	-493.884	390.154	29.672	-550.002	389.922	53.704	-558.986	441.587	-793.556	193.727	528.473	-756.498	189.750
1576	26.25000	635.904	162.129	260.402	630.880	176.476	204.446	656.796	166.912	198.984	413.564	77.339	111.516	414.462	135.005	-93.412	355.154	37.338	-449.058	367.255	61.200	-404.875	372.222	29.485	-403.440	438.856	-21.366	-493.141	388.125	25.886	-549.105	387.994	49.809	-558.374	441.562	-793.605	193.707	528.506	-756.467	189.785
1577	26.26667	635.913	162.410	260.412	630.875	176.731	204.472	656.820	167.237	199.012	413.508	77.249	111.643	414.076	134.612	-93.453	353.800	33.319	-447.952	365.940	57.629	-404.093	371.180	26.015	-402.448	437.810	-24.852	-492.150	386.416	21.306	-547.995	385.989	45.193	-557.531	441.582	-793.535	193.739	528.521	-756.442	189.795
1578	26.28333	635.936	162.691	260.424	630.880	177.011	204.491	656.817	167.560	199.038	413.454	77.155	111.799	413.574	134.078	-93.511	352.474	28.714	-447.034	364.724	52.580	-401.965	370.098	21.891	-401.289	436.946	-28.874	-490.985	384.555	15.987	-546.840	383.686	39.760	-556.589	441.573	-793.558	193.724	528.541	-756.440	189.806
1579	26.30000	635.976	162.972	260.451	630.879	177.287	204.535	656.837	167.874	199.079	413.412	77.069	111.938	412.957	133.420	-93.568	350.924	23.312	-445.470	363.168	47.822	-400.883	368.921	17.236	-399.831	435.953	-33.518	-489.536	382.352	9.817	-545.589	381.014	33.630	-555.429	441.605	-793.558	193.731	528.559	-756.409	189.799
