NO_OF_FRAMES	2923
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:46:05	5971.01332311
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1992	33.18333	606.022	270.140	269.049	601.014	292.302	215.741	627.255	284.583	209.322	391.981	186.263	111.524	401.998	268.555	-82.527	345.086	227.504	-453.012	352.813	241.298	-404.246	358.577	210.581	-408.757	424.487	169.682	-495.079	368.097	223.866	-557.050	363.830	257.857	-560.717	416.811	-782.905	193.549	506.901	-748.026	190.139
1993	33.20000	606.160	270.338	269.047	601.171	292.538	215.762	627.417	284.802	209.351	391.970	186.762	111.621	401.774	269.064	-82.359	344.477	228.129	-452.828	352.256	242.035	-404.054	357.984	211.283	-408.521	423.923	170.501	-495.157	367.355	224.429	-556.863	363.087	258.166	-560.634	416.894	-782.788	193.600	506.880	-748.045	190.120
1994	33.21667	606.273	270.531	269.074	601.282	292.798	215.807	627.525	285.049	209.399	391.907	187.023	111.714	401.454	269.311	-82.305	343.722	228.098	-452.572	351.632	242.077	-403.901	357.417	211.311	-408.357	423.158	170.566	-494.937	367.070	224.833	-556.666	361.761	257.789	-560.481	416.881	-782.778	193.592	506.892	-748.021	190.109
1995	33.23333	606.293	270.700	269.096	601.309	292.991	215.825	627.576	285.308	209.457	391.864	187.077	111.770	401.091	269.412	-82.244	342.824	227.307	-452.349	350.779	241.398	-403.672	356.564	210.667	-408.077	422.254	169.943	-494.813	365.893	224.022	-556.491	360.268	256.907	-560.244	416.823	-782.902	193.559	506.882	-748.056	190.104
1996	33.25000	606.234	270.869	269.065	601.246	293.181	215.809	627.559	285.541	209.449	391.830	187.044	111.792	400.700	269.328	-82.230	341.682	225.901	-452.075	349.787	240.282	-403.458	355.670	209.495	-407.791	421.204	168.644	-494.678	364.576	222.438	-556.292	358.843	255.261	-560.043	416.926	-782.763	193.607	506.880	-748.055	190.102
1997	33.26667	606.171	271.036	269.056	601.156	293.375	215.804	627.465	285.789	209.424	391.755	186.956	111.841	400.315	268.995	-82.284	340.421	224.056	-451.770	348.701	238.689	-403.326	354.721	207.923	-407.513	420.083	166.690	-494.350	363.104	220.123	-556.014	357.474	252.869	-560.149	416.828	-782.889	193.547	506.904	-748.022	190.121
1998	33.28333	606.092	271.185	269.053	601.066	293.557	215.832	627.374	286.027	209.432	391.643	186.771	111.899	399.757	268.396	-82.392	339.076	221.739	-451.512	347.592	236.753	-403.154	353.639	205.969	-407.226	419.073	162.946	-494.887	361.645	217.444	-555.761	356.017	249.926	-560.083	416.849	-782.861	193.567	506.892	-748.045	190.134
1999	33.30000	605.990	271.351	269.057	600.934	293.736	215.847	627.259	286.225	209.439	391.486	186.382	111.958	399.128	267.618	-82.550	337.748	219.133	-451.341	346.420	234.508	-403.052	352.482	203.754	-406.925	417.833	160.386	-494.696	360.228	214.453	-555.557	354.508	246.638	-560.054	416.908	-782.784	193.599	506.883	-748.048	190.118
2000	33.31667	605.855	271.519	269.048	600.737	293.899	215.821	627.081	286.425	209.416	391.336	185.883	111.986	398.524	266.707	-82.695	336.427	216.151	-451.060	345.170	231.832	-402.981	351.334	201.117	-406.680	416.779	157.505	-494.304	358.850	210.985	-555.407	352.671	243.078	-560.029	416.895	-782.792	193.588	506.892	-748.033	190.122
2001	33.33333	605.635	271.655	268.974	600.516	294.033	215.783	626.863	286.646	209.383	391.197	185.388	111.970	397.890	265.684	-82.891	335.115	212.878	-450.846	343.891	228.972	-402.899	350.214	198.220	-406.435	415.749	154.266	-493.892	357.256	207.131	-555.101	350.993	239.154	-560.066	416.931	-782.743	193.625	506.896	-748.038	190.113
