NO_OF_FRAMES	2923
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:46:05	5971.01332311
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
721	12.00000	559.811	354.058	258.415	551.348	367.589	202.875	577.499	359.344	195.878	354.686	251.410	114.623	364.821	316.945	-85.732	343.756	273.737	-457.086	346.587	284.497	-406.727	349.552	253.372	-412.356	427.024	218.574	-499.942	402.123	276.074	-553.128	404.779	304.869	-554.250	429.057	-786.242	194.119	517.983	-752.173	190.144
722	12.01667	559.841	353.087	258.425	551.465	366.906	202.942	577.556	358.540	195.896	354.680	252.272	113.970	365.783	319.626	-85.830	344.000	273.972	-457.171	347.236	285.173	-406.950	349.932	253.966	-412.402	426.851	217.798	-500.181	401.975	274.885	-553.570	405.103	303.573	-554.752	428.991	-786.312	194.091	517.984	-752.161	190.133
723	12.03333	560.016	352.313	258.296	551.779	366.340	202.794	577.862	357.885	195.787	354.964	252.927	113.209	366.489	321.573	-86.126	344.000	273.096	-457.328	347.225	284.515	-407.218	350.092	253.478	-412.436	426.415	216.320	-500.243	401.418	272.712	-553.916	404.993	301.227	-555.412	428.160	-787.331	193.695	517.981	-752.171	190.148
724	12.05000	560.310	351.666	258.013	552.256	365.920	202.591	578.296	357.356	195.571	355.412	253.348	112.454	366.978	322.858	-86.597	343.668	271.049	-457.627	347.077	282.943	-407.718	350.017	251.958	-412.528	426.096	214.133	-500.380	400.659	269.710	-554.517	404.275	298.057	-556.158	428.201	-787.304	193.696	517.980	-752.174	190.150
725	12.06667	560.852	351.249	257.805	552.926	365.561	202.373	578.959	356.939	195.376	354.788	253.921	111.744	367.260	323.482	-87.226	343.057	268.207	-457.813	346.660	280.617	-408.041	349.660	249.613	-412.621	425.301	211.009	-499.985	399.508	265.877	-554.815	403.238	294.184	-556.871	429.014	-786.239	194.110	517.982	-752.166	190.142
726	12.08333	561.600	350.893	257.680	553.798	365.341	202.282	579.788	356.567	195.319	355.161	254.040	111.226	367.451	323.459	-87.923	342.010	264.600	-457.833	345.908	277.514	-408.332	349.062	246.525	-412.523	424.597	207.104	-499.770	398.004	261.514	-555.068	401.569	289.604	-557.417	429.027	-786.222	194.119	517.997	-752.148	190.159
727	12.10000	562.429	350.651	257.593	554.821	365.132	202.144	580.753	356.243	195.223	355.719	254.096	110.857	367.585	322.859	-88.578	340.509	260.227	-457.565	344.832	273.699	-408.268	348.260	242.689	-412.174	423.755	201.763	-499.002	395.616	256.827	-555.218	399.369	284.649	-557.763	428.235	-787.274	193.708	517.978	-752.182	190.143
728	12.11667	563.359	350.398	257.431	555.862	365.015	202.021	581.802	356.014	195.112	356.183	254.237	110.638	367.744	321.857	-89.059	338.613	255.325	-457.051	343.553	269.292	-407.961	347.152	238.258	-411.628	421.960	196.930	-499.067	392.572	251.622	-555.275	396.363	279.279	-557.969	429.065	-786.210	194.099	517.985	-752.159	190.135
729	12.13333	564.267	350.144	257.273	556.929	364.783	201.839	582.861	355.774	194.991	356.697	254.126	110.522	367.816	320.537	-89.571	336.470	249.806	-456.381	342.100	264.354	-407.397	345.786	233.229	-410.867	419.549	191.666	-499.148	389.236	245.712	-555.217	392.790	273.286	-558.009	428.224	-787.251	193.730	517.994	-752.149	190.143
730	12.15000	565.214	349.860	257.139	558.007	364.561	201.702	583.932	355.485	194.889	357.240	253.818	110.411	367.913	319.053	-90.022	334.097	243.760	-455.525	340.467	258.851	-406.745	344.207	227.664	-410.007	416.715	185.810	-499.208	385.340	239.364	-555.009	388.977	266.807	-557.944	428.218	-787.259	193.727	517.994	-752.149	190.143
