NO_OF_FRAMES	2237
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:33:37	5222.67107833
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Middle	Index	Thumb	Hand top	Hand left	Hand right	Elbow	Shoulder	Back top	Back right	Back left
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Middle X	Middle Y	Middle Z	Index X	Index Y	Index Z	Thumb X	Thumb Y	Thumb Z	Hand top X	Hand top Y	Hand top Z	Hand left X	Hand left Y	Hand left Z	Hand right X	Hand right Y	Hand right Z	Elbow X	Elbow Y	Elbow Z	Shoulder X	Shoulder Y	Shoulder Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	
1536	25.58333	522.166	-776.987	192.662	612.646	-741.311	189.704	349.329	-46.375	-495.582	365.781	-65.071	-490.762	436.654	-54.231	-470.952	382.437	-5.084	-399.243	419.076	14.010	-374.426	398.678	38.590	-379.651	485.739	132.280	-171.736	470.985	93.353	79.106	700.552	146.161	172.998	711.467	152.353	116.801	738.112	143.847	120.389
1537	25.60000	522.118	-777.033	192.652	612.658	-741.295	189.729	350.329	-47.549	-495.444	366.703	-66.115	-490.266	437.610	-54.779	-470.739	382.905	-6.046	-398.953	419.380	13.399	-374.174	398.812	37.757	-379.339	484.910	132.325	-171.483	470.432	92.560	79.387	699.863	146.157	173.056	710.714	152.414	116.853	737.415	144.074	120.479
1538	25.61667	522.190	-776.929	192.711	612.659	-741.283	189.720	351.476	-49.348	-494.856	367.899	-67.680	-489.584	438.602	-55.851	-469.911	383.371	-7.311	-398.457	419.715	12.501	-373.697	398.899	36.716	-378.944	483.982	132.615	-171.262	469.911	91.935	79.718	699.190	146.139	173.157	710.028	152.546	117.012	736.750	144.296	120.590
1539	25.63333	522.160	-777.046	192.661	612.648	-741.331	189.698	352.804	-51.303	-494.257	369.037	-69.545	-488.301	439.676	-57.262	-468.730	383.510	-8.482	-398.863	420.079	11.542	-373.068	399.711	34.148	-375.576	483.051	133.071	-171.022	469.343	91.460	80.161	698.543	146.124	173.290	709.326	152.607	117.091	736.081	144.462	120.661
1540	25.65000	522.147	-777.003	192.661	612.662	-741.302	189.703	354.975	-54.067	-493.473	370.525	-71.784	-486.460	440.811	-58.970	-467.211	384.171	-10.312	-397.640	420.568	10.438	-372.229	399.851	32.725	-374.842	482.036	133.604	-170.793	468.821	91.047	80.590	697.961	146.102	173.360	708.703	152.687	117.196	735.491	144.630	120.758
1541	25.66667	522.144	-777.004	192.662	612.659	-741.300	189.692	356.044	-56.265	-490.381	371.612	-74.776	-483.565	441.878	-61.034	-465.328	384.754	-12.423	-396.077	421.870	9.278	-371.585	400.005	31.102	-373.883	481.118	134.274	-170.646	468.350	90.712	81.004	697.404	146.063	173.462	708.134	152.750	117.334	734.957	144.757	120.831
1542	25.68333	522.133	-777.031	192.645	612.678	-741.276	189.665	357.491	-60.015	-488.120	372.971	-78.475	-480.822	442.824	-63.635	-462.958	385.327	-14.829	-394.179	422.193	7.682	-370.098	400.052	29.169	-372.701	480.338	135.175	-170.515	467.847	90.378	81.395	696.864	146.016	173.560	707.613	152.768	117.397	734.418	144.861	120.928
1543	25.70000	522.123	-777.038	192.630	612.677	-741.289	189.684	358.825	-64.274	-485.317	374.186	-82.676	-477.509	443.581	-66.982	-459.975	385.756	-17.636	-391.789	422.423	5.622	-368.158	400.081	26.807	-371.201	479.608	136.424	-170.571	467.334	89.951	81.733	696.317	145.937	173.643	707.036	152.810	117.520	733.884	144.989	121.051
1544	25.71667	522.173	-777.011	192.665	612.673	-741.292	189.661	359.729	-69.646	-481.349	375.058	-87.879	-473.023	444.183	-71.588	-455.893	386.074	-21.061	-388.657	422.641	2.977	-365.628	400.162	23.872	-369.174	478.889	138.008	-170.751	466.815	89.637	82.083	695.772	145.837	173.786	706.472	152.862	117.700	733.358	145.103	121.191
1545	25.73333	522.205	-776.938	192.694	612.672	-741.313	189.661	360.876	-76.360	-475.851	375.884	-94.356	-466.806	444.579	-77.552	-450.050	386.513	-25.017	-384.739	422.995	-0.244	-362.219	400.415	20.357	-366.575	478.231	139.873	-171.041	466.275	89.391	82.444	695.135	145.682	173.917	705.872	152.832	117.821	732.790	145.222	121.350
1546	25.75000	522.101	-777.067	192.649	612.656	-741.336	189.637	362.599	-84.528	-468.785	377.058	-102.208	-458.809	445.143	-84.707	-442.697	387.764	-31.318	-376.481	423.530	-4.136	-357.946	400.125	17.226	-365.844	477.526	141.872	-171.351	465.685	89.381	82.925	694.541	145.557	173.999	705.210	152.782	117.943	732.159	145.298	121.494
1547	25.76667	522.207	-776.984	192.687	612.690	-741.285	189.659	364.564	-94.129	-460.272	378.626	-111.425	-449.274	446.252	-92.796	-434.148	388.674	-37.328	-369.855	424.309	-8.862	-352.732	400.632	11.846	-361.500	476.806	143.923	-171.645	465.138	89.668	83.586	693.931	145.427	174.126	704.629	152.775	118.107	731.612	145.341	121.600
1548	25.78333	522.144	-777.039	192.666	612.689	-741.271	189.642	365.438	-105.030	-448.588	380.441	-121.787	-438.210	447.804	-101.776	-424.205	389.728	-44.192	-362.323	425.051	-14.522	-346.572	401.207	5.543	-356.226	476.012	145.913	-171.876	464.541	90.068	84.352	693.363	145.310	174.247	704.077	152.667	118.187	731.084	145.383	121.751
1549	25.80000	522.143	-777.038	192.659	612.693	-741.293	189.598	367.707	-116.572	-437.154	382.493	-132.988	-425.327	449.598	-111.762	-412.646	390.907	-51.873	-353.621	426.004	-20.934	-339.357	401.885	-1.687	-350.001	474.913	147.446	-172.029	463.948	90.526	85.292	692.871	145.225	174.330	703.522	152.612	118.269	730.575	145.425	121.882
1550	25.81667	522.246	-776.916	192.701	612.690	-741.282	189.582	370.465	-129.328	-423.900	384.757	-145.176	-410.525	450.796	-121.850	-398.118	392.346	-60.438	-343.314	427.080	-28.137	-331.069	402.712	-9.867	-342.703	473.781	148.694	-172.201	463.389	90.832	86.169	692.354	145.179	174.422	703.021	152.618	118.412	730.054	145.448	121.923
1551	25.83333	522.054	-777.161	192.602	612.704	-741.276	189.594	373.492	-143.232	-408.486	388.013	-158.897	-393.373	nan	nan	nan	393.892	-69.285	-332.683	428.335	-36.166	-321.647	403.620	-19.001	-334.247	472.315	149.233	-172.410	462.859	90.954	86.982	691.813	145.175	174.523	702.491	152.659	118.496	729.557	145.607	122.052
1552	25.85000	522.281	-776.831	192.740	612.698	-741.306	189.560	377.806	-158.493	-391.848	391.025	-172.583	-374.854	456.511	-145.090	-366.927	395.194	-78.973	-321.185	429.715	-44.951	-311.180	404.581	-29.111	-324.660	470.718	149.308	-172.682	462.285	90.880	87.661	691.295	145.199	174.628	701.947	152.731	118.596	729.042	145.828	122.199
1553	25.86667	522.097	-777.082	192.648	612.696	-741.310	189.571	381.357	-173.837	-372.894	393.981	-186.283	-355.346	461.796	-158.217	-351.839	397.171	-89.707	-307.202	431.135	-54.536	-299.749	405.677	-40.047	-314.096	468.804	148.517	-173.156	461.713	90.709	88.277	690.811	145.292	174.712	701.396	152.906	118.713	728.561	146.068	122.278
1554	25.88333	522.182	-777.029	192.677	612.689	-741.308	189.549	384.148	-189.876	-351.029	396.893	-200.239	-334.490	464.719	-171.230	-332.643	399.340	-101.193	-292.133	432.569	-64.880	-287.460	406.852	-51.749	-302.574	466.584	146.674	-173.673	461.061	90.300	88.837	690.347	145.464	174.804	700.940	153.144	118.781	728.092	146.418	122.355
1555	25.90000	522.182	-776.960	192.714	612.707	-741.299	189.569	388.391	-206.135	-329.464	400.001	-214.426	-312.367	468.588	-184.457	-311.425	401.627	-112.975	-276.747	434.320	-76.219	-273.838	408.125	-64.204	-290.124	464.134	143.423	-174.315	460.414	89.606	89.237	689.960	145.719	174.868	700.538	153.460	118.869	727.694	146.841	122.413
1556	25.91667	522.084	-777.104	192.618	612.706	-741.278	189.553	392.651	-222.122	-307.015	403.365	-228.675	-289.081	472.664	-197.715	-289.060	403.721	-125.179	-259.760	435.653	-87.532	-259.768	409.548	-77.344	-276.420	461.370	138.552	-174.900	459.777	88.531	89.556	689.608	146.024	174.894	700.150	153.892	118.924	727.351	147.346	122.468
1557	25.93333	522.127	-777.054	192.668	612.710	-741.291	189.523	396.819	-238.053	-282.945	407.318	-243.102	-264.414	477.216	-210.859	-265.554	406.325	-138.422	-242.120	436.448	-99.860	-243.547	411.196	-91.351	-261.378	458.428	131.563	-175.507	459.168	87.030	89.791	689.219	146.444	174.918	699.772	154.362	118.985	727.002	147.936	122.503
1558	25.95000	522.254	-776.852	192.731	612.685	-741.309	189.477	401.176	-253.836	-257.038	411.495	-257.345	-238.220	482.289	-223.753	-241.093	408.866	-150.843	-222.818	438.266	-112.392	-227.204	412.830	-105.689	-245.295	455.104	124.211	-176.005	458.581	85.234	90.009	688.869	146.900	174.945	699.391	154.967	118.999	726.643	148.606	122.518
1559	25.96667	522.230	-776.897	192.714	612.718	-741.281	189.500	405.776	-269.360	-229.758	415.911	-271.256	-210.733	487.652	-236.159	-215.420	411.713	-164.015	-202.615	441.071	-125.320	-210.183	414.420	-120.216	-228.251	451.526	115.312	-176.244	458.021	83.081	90.249	688.530	147.468	174.985	698.999	155.615	119.016	726.262	149.400	122.550
1560	25.98333	522.289	-776.821	192.735	612.714	-741.268	189.495	410.857	-284.442	-201.017	419.451	-284.033	-181.218	493.221	-247.975	-188.912	414.779	-177.159	-181.367	443.171	-138.377	-191.642	416.413	-135.164	-209.914	447.643	104.720	-176.302	456.897	80.616	90.841	688.239	148.108	175.004	698.485	156.419	119.060	725.971	150.228	122.578
