NO_OF_FRAMES	2252
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:44:43	5888.89264541
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
625	10.40000	632.911	387.419	256.420	623.610	397.722	200.471	650.595	392.366	194.204	448.333	177.398	264.045	412.265	-17.972	229.788	413.856	-393.205	234.135	402.444	-343.239	238.266	434.302	-347.883	240.443	519.337	-399.696	193.855	438.094	-491.428	214.587	401.717	-495.689	214.280	434.192	-794.322	193.715	524.190	-759.754	190.161
626	10.41667	632.470	386.966	256.245	623.169	397.243	200.306	650.119	391.823	194.007	447.849	176.995	263.980	411.716	-18.393	229.687	413.885	-393.653	234.134	402.365	-343.698	238.214	434.118	-348.488	240.271	519.243	-400.062	193.599	438.235	-491.862	214.505	401.909	-496.203	214.282	433.843	-794.752	193.520	524.178	-759.767	190.164
627	10.43333	632.039	386.560	256.143	622.657	396.739	200.138	649.653	391.291	193.875	447.360	176.589	263.967	411.333	-18.824	229.586	413.589	-394.062	234.160	402.090	-344.085	238.194	434.050	-348.679	240.325	518.924	-400.522	193.605	437.915	-492.281	214.563	401.607	-496.597	214.313	434.258	-794.219	193.760	524.174	-759.773	190.149
628	10.45000	631.459	386.073	256.047	622.136	396.259	200.061	649.096	390.783	193.765	446.803	176.198	263.938	410.954	-19.247	229.501	413.095	-394.495	234.120	401.651	-344.476	238.175	433.625	-349.068	240.292	518.504	-401.033	193.767	437.324	-492.718	214.605	400.967	-497.001	214.274	434.157	-794.360	193.702	524.168	-759.775	190.148
629	10.46667	630.843	385.557	255.951	621.537	395.796	200.028	648.509	390.402	193.698	446.224	175.747	263.901	410.494	-19.666	229.562	412.667	-394.939	234.151	401.167	-344.933	238.230	433.150	-349.550	240.345	518.037	-401.501	193.769	436.829	-493.164	214.464	400.438	-497.412	214.111	433.903	-794.676	193.538	524.177	-759.761	190.151
630	10.48333	630.132	385.015	255.831	620.858	395.352	199.895	647.843	390.023	193.624	445.611	175.304	263.825	409.990	-20.150	229.646	412.154	-395.427	234.189	400.732	-345.388	238.360	432.682	-350.029	240.452	517.570	-401.861	193.710	436.386	-493.614	214.412	400.007	-497.871	214.034	433.795	-794.792	193.489	524.158	-759.782	190.142
631	10.50000	629.405	384.481	255.662	620.149	394.916	199.741	647.125	389.641	193.479	444.893	174.872	263.833	409.440	-20.652	229.766	411.631	-395.851	234.362	400.202	-345.879	238.524	432.116	-350.658	240.523	517.044	-402.283	193.858	435.943	-494.087	214.602	399.519	-498.361	214.267	434.149	-794.416	193.682	524.190	-759.737	190.161
632	10.51667	628.572	383.999	255.446	619.348	394.478	199.538	646.302	389.188	193.257	444.166	174.396	263.869	408.808	-21.171	229.923	411.132	-396.381	234.630	399.673	-346.359	238.737	431.609	-351.135	240.772	516.482	-402.813	194.174	435.361	-494.586	214.997	399.002	-498.885	214.698	434.162	-794.295	193.742	524.181	-759.760	190.147
633	10.53333	627.757	383.603	255.279	618.411	393.983	199.297	645.410	388.708	193.040	443.429	173.839	263.834	408.121	-21.732	230.115	410.611	-396.996	235.047	399.158	-346.938	239.141	431.048	-351.729	241.123	515.944	-403.438	194.511	434.829	-495.194	215.386	398.476	-499.492	215.124	433.805	-794.798	193.507	524.170	-759.770	190.143
634	10.55000	626.799	383.157	255.074	617.462	393.484	199.108	644.449	388.182	192.825	442.585	173.238	263.825	407.399	-22.408	230.268	410.085	-397.568	235.508	398.608	-347.591	239.646	430.510	-352.352	241.599	515.367	-404.008	194.913	434.382	-495.807	216.001	398.042	-500.132	215.715	433.832	-794.749	193.530	524.169	-759.783	190.157
635	10.56667	625.829	382.660	254.893	616.438	392.920	198.986	643.432	387.662	192.644	441.654	172.637	263.902	406.549	-23.045	230.431	409.556	-398.247	236.197	398.026	-348.209	240.174	429.936	-352.948	242.164	514.877	-404.642	195.562	433.912	-496.462	216.743	397.577	-500.811	216.457	433.739	-794.838	193.491	524.187	-759.747	190.155
636	10.58333	624.798	382.079	254.776	615.378	392.362	198.871	642.345	387.079	192.532	440.746	172.011	264.013	405.792	-23.720	230.707	408.948	-398.858	236.820	397.425	-349.051	240.649	429.351	-353.585	242.744	514.279	-405.359	196.214	433.402	-497.149	217.566	397.072	-501.518	217.323	434.154	-794.346	193.724	524.186	-759.772	190.143
637	10.60000	623.695	381.453	254.739	614.270	391.744	198.811	641.238	386.465	192.487	439.810	171.357	264.175	405.018	-24.449	231.086	408.529	-399.571	237.537	396.920	-349.727	241.287	428.819	-354.273	243.319	513.724	-406.066	196.775	432.922	-497.865	218.268	396.560	-502.210	218.020	433.743	-794.864	193.475	524.167	-759.771	190.147
638	10.61667	622.524	380.794	254.720	613.073	391.096	198.839	640.068	385.865	192.457	438.852	170.652	264.385	404.190	-25.194	231.538	407.960	-400.350	238.167	396.401	-350.313	242.083	428.317	-355.032	243.992	513.181	-406.683	197.330	432.479	-498.602	218.890	396.127	-503.003	218.738	434.144	-794.348	193.712	524.190	-759.749	190.153
639	10.63333	621.289	380.104	254.722	611.784	390.493	198.807	638.799	385.297	192.441	437.874	169.919	264.620	403.439	-26.038	231.950	407.483	-401.155	238.946	395.865	-351.137	242.813	427.800	-355.793	244.673	512.672	-407.473	197.968	432.010	-499.417	219.723	395.633	-503.807	219.489	434.245	-794.296	193.726	524.159	-759.777	190.137
640	10.65000	619.987	379.413	254.738	610.436	389.835	198.832	637.450	384.693	192.455	436.813	169.091	264.894	402.575	-26.838	232.388	407.091	-402.001	239.785	395.401	-352.139	243.426	427.375	-356.587	245.432	512.203	-408.302	198.754	431.590	-500.241	220.669	395.166	-504.650	220.331	433.698	-794.892	193.450	524.178	-759.758	190.150
641	10.66667	618.638	378.739	254.713	609.020	389.160	198.885	636.017	384.070	192.456	435.688	168.275	265.203	401.710	-27.768	232.876	406.747	-402.845	240.580	395.028	-353.036	244.169	426.997	-357.439	246.156	511.853	-409.165	199.495	431.325	-501.098	221.537	394.889	-505.589	221.365	434.141	-794.390	193.686	524.177	-759.761	190.152
642	10.68333	617.157	377.996	254.728	607.450	388.463	198.882	634.493	383.399	192.426	434.607	167.368	265.506	400.853	-28.755	233.380	406.578	-403.806	241.416	394.784	-354.025	244.981	426.768	-358.346	246.843	511.576	-410.075	200.060	431.047	-502.103	222.431	394.860	-506.599	222.440	433.756	-794.834	193.488	524.165	-759.773	190.151
643	10.70000	615.633	377.222	254.769	605.877	387.687	198.931	632.866	382.715	192.482	433.433	166.390	265.853	399.979	-29.790	233.894	406.405	-404.856	242.372	394.553	-355.050	245.815	426.543	-359.337	247.622	511.313	-411.022	200.656	430.921	-503.133	223.347	394.801	-507.703	223.450	433.775	-794.833	193.493	524.177	-759.761	190.152
644	10.71667	614.032	376.383	254.799	604.187	386.905	198.977	631.179	382.001	192.482	432.284	165.332	266.144	399.116	-30.915	234.399	406.296	-405.934	243.288	394.327	-356.132	246.639	426.360	-360.383	248.480	511.139	-412.009	201.518	430.809	-504.250	224.238	394.644	-508.828	224.280	434.177	-794.310	193.730	524.164	-759.776	190.135
645	10.73333	612.428	375.478	254.851	602.496	386.060	199.069	629.509	381.095	192.519	431.101	164.234	266.433	398.324	-32.119	234.897	406.200	-407.064	244.240	394.190	-357.292	247.501	426.254	-361.529	249.303	511.076	-413.133	202.345	430.672	-505.422	225.125	394.551	-510.055	225.200	433.833	-794.763	193.520	524.160	-759.783	190.141
646	10.75000	610.766	374.522	254.886	600.754	385.127	199.112	627.731	380.281	192.494	429.901	162.991	266.772	397.435	-33.460	235.418	406.262	-408.373	245.179	394.108	-358.611	248.377	426.209	-362.770	250.179	511.132	-414.330	203.285	430.806	-506.746	226.032	394.667	-511.442	226.131	433.835	-794.727	193.531	524.169	-759.770	190.143
647	10.76667	608.979	373.421	254.888	598.899	384.105	199.150	625.929	379.406	192.585	428.708	161.635	267.062	396.553	-34.933	235.957	406.365	-409.785	246.308	394.139	-360.041	249.314	426.205	-364.107	251.134	511.305	-415.777	204.424	430.972	-508.258	227.280	394.980	-512.951	227.312	434.124	-794.368	193.710	524.177	-759.761	190.152
648	10.78333	607.234	372.180	254.854	597.065	383.026	199.155	624.100	378.423	192.503	427.584	160.126	267.282	395.826	-36.549	236.356	406.627	-411.262	247.665	394.204	-361.501	250.255	426.406	-365.556	252.287	511.539	-417.523	206.199	430.513	-509.896	228.914	395.064	-514.550	228.960	433.791	-794.849	193.479	524.181	-759.760	190.147
649	10.80000	605.559	370.928	254.758	595.334	381.883	199.092	622.366	377.307	192.420	426.497	158.470	267.402	395.017	-38.263	236.562	406.443	-412.829	249.192	394.260	-363.039	251.211	426.315	-367.115	253.669	512.032	-419.671	208.533	429.504	-511.681	231.070	394.769	-516.319	230.781	433.837	-794.779	193.485	524.179	-759.758	190.150
650	10.81667	603.916	369.647	254.686	593.592	380.597	199.058	620.697	376.116	192.358	425.361	156.577	267.359	394.285	-40.233	236.507	406.676	-414.611	251.123	394.406	-364.718	252.252	426.533	-368.864	255.133	512.530	-422.526	211.337	428.546	-513.745	233.601	394.238	-518.227	232.971	434.214	-794.245	193.772	524.178	-759.760	190.152
651	10.83333	602.273	368.229	254.695	591.895	379.163	199.061	618.984	374.783	192.322	424.298	154.414	267.253	393.566	-42.399	236.432	407.018	-416.048	253.298	394.635	-366.547	253.189	426.670	-370.728	256.760	513.690	-425.355	214.376	427.037	-516.134	235.878	393.702	-520.290	235.343	434.222	-794.223	193.751	524.154	-759.792	190.133
