NO_OF_FRAMES	2308
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:26:18	4784.01216723
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Hand left	Hand top	Shoulder	Hand right	Back left	Elbow	Back right	Back top	Index	Middle	Thumb
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Hand left X	Hand left Y	Hand left Z	Hand top X	Hand top Y	Hand top Z	Shoulder X	Shoulder Y	Shoulder Z	Hand right X	Hand right Y	Hand right Z	Back left X	Back left Y	Back left Z	Elbow X	Elbow Y	Elbow Z	Back right X	Back right Y	Back right Z	Back top X	Back top Y	Back top Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Thumb X	Thumb Y	Thumb Z	
979	16.30000	530.083	-782.220	192.602	619.759	-745.109	190.875	442.964	27.418	-408.099	422.636	34.393	-452.143	486.825	84.950	59.515	431.856	56.323	-404.994	751.464	117.187	126.934	461.549	84.025	-173.924	725.177	126.483	122.891	712.321	118.864	178.706	447.129	21.013	-558.945	446.569	48.005	-561.543	501.833	0.689	-510.922
980	16.31667	530.056	-782.293	192.572	619.760	-745.111	190.869	443.042	27.162	-407.864	422.767	34.336	-451.854	486.852	85.829	59.794	432.143	56.123	-404.658	751.418	116.912	127.044	461.378	85.471	-173.824	725.158	126.248	122.966	712.250	118.618	178.765	446.269	22.426	-558.629	449.860	50.565	-560.600	502.250	0.680	-510.702
981	16.33333	530.170	-782.137	192.656	619.746	-745.111	190.869	443.085	26.997	-407.648	422.962	34.099	-451.667	486.819	86.497	60.035	432.341	55.960	-404.522	751.353	116.675	127.089	461.321	86.432	-173.746	725.103	126.030	122.997	712.175	118.455	178.782	446.587	20.761	-559.472	455.040	49.313	-561.767	502.734	0.479	-510.263
982	16.35000	530.030	-782.310	192.586	619.777	-745.095	190.870	443.032	26.782	-407.332	423.033	33.634	-451.460	486.823	86.845	60.151	432.419	55.832	-404.512	751.287	116.496	127.120	461.441	87.212	-173.690	725.018	125.849	122.987	712.049	118.311	178.772	448.278	19.559	-559.085	459.760	48.547	-560.148	502.985	-0.408	-509.686
983	16.36667	529.975	-782.458	192.534	619.763	-745.130	190.873	442.067	26.233	-406.103	422.958	32.897	-451.207	486.846	86.860	60.100	432.266	56.437	-405.922	751.124	116.348	127.105	461.624	88.068	-173.717	724.862	125.701	122.954	711.885	118.182	178.746	450.671	18.309	-558.597	465.108	47.210	-558.311	502.689	-1.506	-509.227
984	16.38333	530.216	-782.086	192.668	619.758	-745.118	190.858	441.833	25.540	-405.492	422.769	32.044	-450.700	486.871	86.672	59.994	432.589	55.956	-405.777	750.898	116.245	127.064	461.971	89.011	-173.804	724.615	125.579	122.914	711.642	118.068	178.719	452.905	17.336	-557.846	469.071	47.882	-554.255	502.019	-3.041	-508.636
985	16.40000	530.068	-782.305	192.568	619.766	-745.108	190.869	441.886	24.677	-405.030	422.652	30.898	-450.024	486.892	86.441	59.867	433.120	55.134	-405.395	750.615	116.171	126.990	462.406	89.972	-173.888	724.336	125.444	122.835	711.362	117.961	178.656	454.786	16.408	-556.869	472.233	45.902	-552.077	501.466	-4.954	-508.132
986	16.41667	529.989	-782.365	192.568	619.783	-745.063	190.892	442.204	23.429	-404.138	422.618	29.316	-449.060	486.922	86.403	59.889	433.930	54.024	-404.916	750.326	116.091	126.890	462.853	90.989	-173.897	724.003	125.313	122.732	711.080	117.891	178.562	456.529	14.670	-555.448	474.623	42.562	-550.185	500.953	-7.289	-507.540
987	16.43333	530.107	-782.238	192.626	619.741	-745.107	190.866	442.758	21.813	-402.982	422.838	27.382	-448.391	487.027	86.504	59.950	434.996	51.522	-402.638	750.038	116.059	126.753	463.312	92.149	-173.947	723.638	125.172	122.567	710.785	117.828	178.417	458.853	11.349	-553.672	477.212	37.989	-547.363	499.255	-10.511	-505.741
988	16.45000	530.108	-782.176	192.642	619.761	-745.125	190.859	443.340	19.681	-401.595	422.910	24.406	-446.861	487.182	86.715	60.055	435.953	49.444	-401.992	749.662	116.012	126.562	463.989	93.504	-174.036	723.278	125.057	122.408	710.472	117.769	178.270	461.798	6.432	-551.233	481.840	32.428	-544.585	498.375	-13.986	-504.474
