NO_OF_FRAMES	4591
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:56:08	6573.69303513
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
3544	59.05000	715.127	243.496	218.028	716.319	256.329	161.888	739.037	240.078	158.537	482.591	238.757	151.659	426.098	240.140	-31.590	445.345	-54.792	-121.783	437.185	-10.134	-143.963	466.263	-11.020	-129.171	554.800	-91.194	-152.380	466.374	-160.497	-113.217	426.445	-168.153	-125.582	515.175	-789.164	192.031	607.787	-758.750	189.626
3545	59.06667	714.882	243.461	217.991	716.013	256.206	161.804	738.875	240.058	158.526	482.358	238.608	151.757	425.703	240.145	-31.422	445.017	-54.902	-121.090	436.990	-10.249	-143.279	466.001	-11.138	-128.497	554.705	-91.153	-151.232	465.450	-160.487	-111.554	425.881	-168.099	-124.411	515.161	-789.180	192.035	607.787	-758.750	189.626
3546	59.08333	714.658	243.427	217.937	715.780	256.088	161.751	738.706	240.041	158.517	482.160	238.490	151.885	425.231	240.091	-31.175	444.817	-55.151	-120.359	436.842	-10.451	-142.476	465.823	-11.412	-127.563	554.683	-91.067	-149.915	464.859	-160.634	-110.329	425.326	-168.262	-123.511	515.143	-789.164	192.046	607.756	-758.808	189.601
3547	59.10000	714.526	243.406	217.934	715.681	256.027	161.732	738.592	240.003	158.514	481.969	238.358	152.076	424.744	240.023	-30.930	444.608	-55.413	-119.205	436.707	-10.736	-141.403	465.667	-11.694	-126.494	554.825	-91.041	-148.373	464.268	-160.829	-108.782	424.775	-168.459	-122.199	515.160	-789.187	192.020	607.764	-758.795	189.607
3548	59.11667	714.303	243.367	217.918	715.511	255.956	161.747	738.469	240.006	158.530	481.351	237.981	152.512	424.343	239.817	-30.580	444.457	-55.725	-117.785	436.599	-11.105	-140.162	465.595	-12.039	-125.254	554.898	-91.190	-146.653	463.668	-161.000	-106.725	424.232	-168.624	-120.187	515.221	-789.107	192.073	607.759	-758.817	189.602
3549	59.13333	714.050	243.303	217.955	715.261	255.855	161.760	738.279	240.020	158.557	481.109	237.757	152.720	423.922	239.501	-30.263	444.363	-56.068	-116.030	436.491	-11.547	-138.592	465.491	-12.454	-123.751	554.987	-91.502	-144.800	462.987	-161.211	-104.137	423.727	-168.891	-117.615	515.359	-788.866	192.192	607.791	-758.761	189.621
3550	59.15000	713.821	243.219	217.972	714.956	255.756	161.780	738.092	240.009	158.592	480.840	237.436	152.895	423.493	239.186	-30.019	444.216	-56.644	-114.007	436.328	-12.217	-136.761	465.392	-13.100	-121.982	555.043	-92.011	-142.644	462.434	-161.592	-101.208	423.382	-169.432	-114.781	515.170	-789.126	192.047	607.778	-758.793	189.607
3551	59.16667	713.571	243.157	217.962	714.669	255.647	161.751	737.903	240.006	158.627	480.602	237.047	153.041	423.119	238.693	-29.686	444.024	-57.472	-111.771	436.107	-13.129	-134.615	465.172	-13.931	-119.920	554.934	-92.756	-140.238	462.074	-162.298	-98.258	423.130	-170.258	-111.850	515.280	-788.977	192.123	607.759	-758.777	189.596
3552	59.18333	713.362	243.083	217.943	714.477	255.514	161.714	737.744	239.954	158.612	480.381	236.682	153.252	422.685	238.121	-29.363	443.831	-58.553	-109.205	435.897	-14.292	-132.198	465.011	-15.043	-117.641	554.905	-93.669	-137.645	461.816	-163.353	-95.287	422.890	-171.371	-108.960	515.145	-789.133	192.069	607.761	-758.794	189.616
3553	59.20000	713.268	242.974	217.886	714.353	255.371	161.685	737.628	239.864	158.572	480.215	236.276	153.449	422.265	237.349	-28.950	443.712	-59.857	-106.544	435.663	-15.632	-129.596	464.839	-16.375	-115.064	554.875	-94.786	-134.911	461.574	-164.660	-92.309	422.567	-172.676	-105.980	515.163	-789.152	192.050	607.762	-758.805	189.618
3554	59.21667	713.249	242.885	217.875	714.306	255.247	161.640	737.580	239.758	158.555	480.061	235.824	153.629	421.805	236.453	-28.489	443.576	-61.285	-103.551	435.469	-17.154	-126.826	464.663	-17.846	-112.386	554.920	-96.032	-132.100	461.394	-166.047	-88.965	422.157	-174.043	-102.459	515.183	-789.114	192.045	607.785	-758.756	189.628
3555	59.23333	713.173	242.801	217.832	714.166	255.110	161.589	737.499	239.684	158.530	479.919	235.299	153.806	421.232	235.457	-28.074	443.404	-62.828	-100.569	435.197	-18.848	-124.107	464.417	-19.426	-109.588	555.073	-97.047	-128.762	461.246	-167.429	-84.933	421.806	-175.513	-98.343	515.156	-789.208	192.030	607.781	-758.748	189.626
3556	59.25000	713.137	242.692	217.817	714.072	254.970	161.549	737.479	239.622	158.510	479.759	234.758	154.014	420.672	234.314	-27.610	443.178	-64.503	-97.302	434.927	-20.788	-121.193	464.099	-21.143	-106.690	555.466	-97.791	-125.300	461.170	-168.799	-80.365	421.851	-177.201	-93.998	515.201	-789.087	192.056	607.750	-758.802	189.599
3557	59.26667	713.144	242.565	217.798	714.077	254.843	161.532	737.476	239.535	158.499	479.547	234.253	154.230	420.111	233.038	-27.259	443.133	-66.363	-93.779	434.699	-22.858	-118.051	463.945	-23.013	-103.573	556.107	-98.096	-122.117	460.406	-170.461	-75.011	422.250	-179.157	-89.442	515.259	-788.995	192.114	607.778	-758.771	189.623
3558	59.28333	713.171	242.473	217.788	714.300	254.704	161.648	737.484	239.479	158.493	479.326	233.584	154.397	419.584	231.604	-26.786	443.384	-68.476	-90.025	434.629	-25.118	-114.526	463.981	-25.125	-100.243	557.016	-98.150	-119.250	460.245	-172.152	-70.385	422.801	-181.322	-84.683	515.184	-789.141	192.070	607.791	-758.757	189.619
3559	59.30000	713.128	242.345	217.788	714.203	254.586	161.631	737.385	239.415	158.471	479.208	232.888	154.531	418.998	230.076	-26.350	443.752	-70.771	-86.216	434.748	-27.476	-110.659	464.188	-27.389	-96.669	557.889	-98.663	-116.387	460.478	-173.997	-65.915	423.133	-183.567	-79.823	515.236	-789.030	192.104	607.764	-758.794	189.608
