NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1526	25.41667	444.606	251.516	155.718	391.947	250.553	-69.581	342.317	119.018	-405.990	348.310	153.134	-368.718	358.433	123.248	-358.278	432.717	69.267	-435.423	376.064	83.569	-499.737	379.466	110.571	-516.910	678.078	267.737	224.547	680.866	280.878	168.585	705.540	267.818	166.608	420.914	-798.555	193.184	513.995	-756.926	182.811
1527	25.43333	444.371	251.290	156.022	391.569	250.044	-69.243	342.057	114.688	-404.026	348.173	149.417	-367.323	358.298	119.638	-356.408	432.299	64.340	-432.742	375.974	77.732	-497.239	379.419	104.411	-514.510	677.958	267.340	224.749	680.732	280.577	168.831	705.393	267.449	166.813	420.886	-798.671	193.127	513.993	-756.937	182.816
1528	25.45000	444.124	250.974	156.186	391.161	249.387	-69.006	341.755	110.694	-402.349	347.969	145.908	-366.126	358.078	116.222	-354.741	432.020	59.744	-430.204	375.718	72.489	-495.007	379.256	98.964	-512.626	677.815	266.993	224.936	680.591	280.315	169.059	705.213	267.151	166.956	420.849	-798.693	193.117	513.996	-756.944	182.786
1529	25.46667	443.868	250.578	156.315	390.808	248.614	-68.873	341.470	107.083	-401.014	347.634	142.664	-365.147	357.832	113.127	-353.540	431.700	55.675	-428.124	375.294	67.777	-493.213	379.173	94.172	-511.089	677.605	266.656	225.052	680.403	280.091	169.208	704.969	266.852	167.067	420.561	-799.128	192.927	513.995	-756.936	182.787
1530	25.48333	443.589	250.086	156.360	390.499	247.602	-68.808	341.110	103.899	-400.023	347.262	139.743	-364.444	357.402	110.278	-352.593	431.300	52.111	-426.518	374.880	63.696	-491.841	378.873	90.035	-509.845	677.416	266.320	225.157	680.139	279.816	169.293	704.676	266.550	167.105	420.929	-798.560	193.164	513.995	-756.928	182.797
1531	25.50000	443.246	249.517	156.382	390.168	246.403	-68.820	340.657	101.123	-399.369	346.863	137.168	-363.973	356.938	107.682	-351.854	430.737	49.036	-425.548	374.498	60.348	-490.856	378.469	86.631	-508.930	677.178	265.990	225.168	679.852	279.577	169.283	704.400	266.318	167.067	420.936	-798.549	193.168	513.985	-756.949	182.798
1532	25.51667	442.899	248.811	156.274	389.720	245.060	-68.941	340.156	98.765	-398.997	346.445	134.909	-363.710	356.435	105.469	-351.625	430.138	46.477	-425.003	374.046	57.704	-490.381	377.855	83.900	-508.329	676.945	265.701	225.142	679.570	279.364	169.290	704.123	266.083	167.003	420.971	-798.501	193.197	513.993	-756.925	182.803
1533	25.53333	442.530	248.029	156.174	389.228	243.648	-69.057	339.674	96.728	-398.789	345.951	132.914	-363.581	356.019	103.468	-351.409	429.529	44.257	-424.675	373.534	55.584	-490.250	377.238	81.736	-508.190	676.634	265.431	225.052	679.263	279.144	169.242	703.777	265.862	166.882	420.889	-798.619	193.161	513.995	-756.934	182.779
1534	25.55000	442.096	247.141	155.994	388.619	242.200	-69.243	339.163	94.874	-398.728	345.482	131.112	-363.550	355.575	101.752	-351.393	429.092	42.658	-424.867	372.813	53.823	-489.976	376.643	79.965	-508.087	676.254	265.128	224.938	678.841	278.896	169.145	703.409	265.687	166.778	420.784	-798.776	193.086	513.977	-756.952	182.794
1535	25.56667	441.560	246.188	155.898	387.868	240.855	-69.417	338.710	93.134	-398.623	345.042	129.467	-363.530	355.171	100.129	-351.368	428.624	41.544	-425.586	372.380	52.172	-489.927	375.919	78.200	-507.933	675.852	264.790	224.831	678.384	278.645	169.060	702.996	265.496	166.650	420.920	-798.550	193.172	513.990	-756.924	182.792
