NO_OF_FRAMES	3761
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:52:43	6368.60483747
DATA_INCLUDED	3D
MARKER_NAMES	Back top	Back right	Back left	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Box back	Box left
Frame	Time	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
1342	22.35000	630.333	273.913	223.985	629.496	286.988	168.022	654.117	273.946	163.866	397.213	238.605	158.849	346.922	243.646	-57.215	391.127	-77.262	-137.983	393.396	-30.213	-157.978	410.271	-32.387	-130.205	505.510	-109.062	-119.599	423.106	-177.792	-145.967	421.461	-182.883	-179.800	398.752	-781.428	193.482	490.024	-749.573	190.649
1343	22.36667	630.242	273.586	223.868	629.366	286.597	167.869	654.037	273.623	163.724	397.197	237.835	158.837	346.789	242.825	-57.229	390.988	-77.925	-135.015	393.464	-31.114	-155.536	410.507	-33.117	-127.807	505.820	-110.017	-116.874	421.418	-178.771	-142.056	419.734	-184.281	-175.950	398.619	-781.603	193.397	490.030	-749.598	190.630
1344	22.38333	630.158	273.226	223.754	629.227	286.271	167.747	653.965	273.385	163.633	397.271	237.039	158.804	346.792	241.960	-57.138	390.798	-79.024	-132.269	393.254	-32.336	-152.960	410.483	-34.235	-125.315	505.960	-110.958	-114.079	420.195	-180.034	-138.341	418.284	-185.890	-172.292	398.657	-781.557	193.412	490.024	-749.571	190.644
1345	22.40000	630.062	272.880	223.606	629.064	285.890	167.595	653.912	273.119	163.506	397.333	236.288	158.872	346.872	241.176	-57.039	390.395	-80.445	-129.231	392.793	-33.885	-150.210	410.124	-35.675	-122.644	506.182	-111.821	-111.424	419.221	-181.575	-134.766	416.982	-187.723	-168.830	398.693	-781.514	193.442	490.001	-749.593	190.645
1346	22.41667	630.052	272.552	223.412	628.955	285.439	167.378	653.841	272.814	163.336	397.301	235.517	158.960	346.820	240.301	-56.828	389.868	-82.134	-126.198	392.170	-35.587	-147.342	409.580	-37.276	-119.790	506.442	-112.756	-108.764	418.394	-183.273	-131.244	415.690	-189.667	-165.219	398.650	-781.572	193.423	490.016	-749.595	190.649
1347	22.43333	630.109	272.253	223.183	628.907	284.987	167.150	653.811	272.399	163.046	397.237	234.686	159.102	346.564	239.286	-56.545	389.038	-83.569	-122.754	391.566	-37.225	-144.278	408.938	-38.759	-116.760	506.441	-114.002	-105.606	416.648	-184.889	-126.942	413.865	-191.615	-160.805	398.606	-781.600	193.391	490.028	-749.602	190.632
1348	22.45000	630.169	271.980	223.000	628.904	284.574	166.930	653.819	271.983	162.796	397.160	233.783	159.263	346.159	238.000	-56.236	387.984	-84.680	-118.836	390.984	-38.562	-140.671	408.590	-40.117	-113.289	506.134	-115.617	-102.004	413.594	-186.412	-121.937	410.990	-193.404	-155.995	398.680	-781.496	193.449	490.014	-749.605	190.630
1349	22.46667	630.247	271.643	222.851	628.907	284.193	166.779	653.848	271.685	162.632	397.175	232.811	159.385	345.550	236.406	-55.908	386.717	-85.674	-114.352	390.371	-39.848	-136.637	408.229	-41.473	-109.413	505.666	-117.327	-97.869	409.853	-187.830	-116.721	407.245	-195.167	-150.790	398.725	-781.437	193.477	490.016	-749.584	190.637
1350	22.48333	630.284	271.243	222.725	628.886	283.743	166.632	653.865	271.396	162.518	396.909	231.675	159.854	344.936	234.648	-55.562	385.379	-87.088	-109.591	389.592	-41.569	-132.417	407.574	-43.170	-105.213	504.739	-119.268	-93.013	406.290	-189.532	-111.305	403.601	-197.272	-144.951	398.678	-781.523	193.415	490.026	-749.594	190.631
1351	22.50000	630.291	270.831	222.641	628.842	283.283	166.520	653.865	271.044	162.416	396.972	230.598	160.067	344.300	232.793	-55.113	384.048	-89.230	-104.498	388.571	-43.962	-127.718	406.556	-45.418	-100.562	503.461	-121.382	-87.519	403.504	-191.734	-105.316	400.782	-199.948	-138.682	398.629	-781.598	193.417	490.024	-749.573	190.649
1352	22.51667	630.327	270.376	222.516	628.554	283.010	166.453	653.858	270.654	162.265	396.987	229.442	160.361	343.576	230.759	-54.492	382.667	-91.977	-98.864	387.274	-46.932	-122.593	405.281	-48.169	-95.436	502.516	-123.364	-81.636	401.398	-194.478	-98.789	398.791	-203.115	-131.999	398.631	-781.621	193.390	490.021	-749.578	190.667
1353	22.53333	630.408	269.978	222.380	628.503	282.617	166.355	653.870	270.338	162.124	396.993	228.219	160.726	342.400	228.727	-53.664	381.501	-95.059	-92.817	385.932	-50.230	-116.831	404.041	-51.196	-89.763	501.808	-125.488	-75.458	399.542	-197.485	-91.592	396.995	-206.529	-124.641	398.620	-781.591	193.402	490.036	-749.553	190.642
1354	22.55000	630.487	269.630	222.243	628.463	282.192	166.189	653.888	270.074	161.996	396.936	226.988	161.206	341.273	225.969	-52.648	380.254	-97.945	-85.912	384.726	-53.446	-110.510	403.142	-54.240	-83.551	501.052	-128.017	-69.118	396.748	-200.404	-83.444	394.242	-209.969	-116.500	398.620	-781.578	193.405	490.012	-749.593	190.648
1355	22.56667	630.590	269.319	222.094	628.486	281.775	166.022	653.949	269.841	161.835	397.198	225.704	161.529	340.014	222.618	-51.596	378.906	-100.625	-78.262	383.715	-56.519	-103.552	402.540	-57.265	-76.958	500.078	-130.960	-62.361	392.915	-203.072	-74.771	390.429	-213.233	-107.538	398.617	-781.616	193.384	490.009	-749.598	190.625
1356	22.58333	630.790	269.007	221.951	628.576	281.437	165.871	654.104	269.605	161.663	398.431	223.583	161.560	338.901	218.580	-50.471	377.566	-103.475	-70.242	382.728	-59.888	-96.277	401.896	-60.487	-69.919	498.645	-134.229	-54.852	389.081	-205.849	-65.699	386.472	-216.724	-97.795	399.545	-780.374	193.954	490.038	-749.565	190.658
1357	22.60000	631.118	268.773	221.788	628.752	281.163	165.699	654.350	269.374	161.437	398.611	222.174	162.073	337.538	214.532	-49.349	376.369	-106.891	-62.066	381.528	-63.802	-88.730	401.045	-64.134	-62.536	497.221	-137.763	-46.878	386.207	-209.120	-55.738	383.246	-220.658	-87.451	398.641	-781.557	193.416	490.016	-749.595	190.642
1358	22.61667	631.473	268.626	221.600	628.993	280.883	165.499	654.638	269.219	161.225	396.398	221.637	164.313	335.831	210.576	-47.991	375.359	-110.976	-53.532	380.287	-68.225	-80.764	400.144	-68.284	-54.820	496.977	-141.946	-38.442	384.653	-213.286	-45.014	381.305	-225.685	-76.386	398.674	-781.565	193.412	490.019	-749.584	190.666
1359	22.63333	631.575	268.557	221.383	629.289	280.661	165.290	654.935	269.039	160.993	396.429	220.143	165.003	334.230	205.985	-46.520	374.679	-115.599	-44.649	379.106	-72.994	-72.177	399.467	-72.932	-46.649	496.589	-145.670	-30.779	383.047	-217.634	-35.339	379.680	-230.264	-66.646	398.594	-781.631	193.376	490.026	-749.597	190.636
1360	22.65000	632.027	268.404	221.164	629.606	280.460	165.085	655.224	268.798	160.727	396.588	218.606	165.722	332.477	200.928	-44.761	374.302	-120.474	-35.525	378.112	-77.786	-63.045	399.174	-77.880	-38.051	496.688	-149.487	-23.810	381.154	-222.133	-26.333	377.674	-234.976	-57.340	398.627	-781.593	193.390	490.023	-749.571	190.644
1361	22.66667	632.425	268.255	220.960	629.870	280.182	164.819	655.557	268.672	160.507	396.780	217.080	166.597	330.654	195.334	-42.684	373.917	-125.424	-26.076	377.438	-82.562	-53.853	399.070	-82.869	-29.363	496.922	-153.357	-16.986	378.470	-226.481	-17.107	374.868	-239.698	-48.089	398.651	-781.565	193.407	490.023	-749.571	190.644
1362	22.68333	632.767	268.121	220.762	630.125	279.946	164.606	655.905	268.599	160.307	397.107	215.410	167.466	328.863	189.342	-40.395	373.566	-129.984	-17.289	376.795	-87.517	-45.218	398.654	-87.780	-20.943	496.879	-157.129	-9.122	375.750	-230.635	-6.977	371.812	-244.457	-37.539	398.636	-781.562	193.408	490.030	-749.599	190.634
1363	22.70000	633.242	267.987	220.597	630.723	279.594	164.393	656.257	268.405	160.051	397.416	213.569	168.431	327.033	183.261	-37.994	372.751	-134.747	-8.239	376.022	-92.748	-36.820	397.987	-92.731	-12.675	496.653	-160.723	0.333	373.794	-235.002	4.007	369.222	-249.562	-26.181	398.735	-781.441	193.483	490.021	-749.599	190.645
1364	22.71667	633.706	267.838	220.422	631.066	279.350	164.196	656.614	268.239	159.863	398.572	211.726	168.754	325.414	176.796	-35.599	372.073	-139.747	0.988	375.215	-98.203	-28.262	397.368	-97.875	-4.290	496.525	-164.498	10.127	372.329	-239.523	15.106	367.740	-254.911	-14.685	398.623	-781.576	193.404	490.021	-749.580	190.655
1365	22.73333	634.140	267.671	220.308	631.368	279.107	164.049	656.964	268.097	159.744	398.747	209.634	169.868	323.407	170.539	-32.716	371.729	-145.089	10.398	374.533	-103.888	-19.337	396.999	-103.292	4.372	496.616	-168.816	19.273	371.409	-244.547	25.791	366.718	-260.971	-3.995	398.633	-781.567	193.408	490.018	-749.575	190.658
1366	22.75000	634.538	267.447	220.174	631.651	278.847	163.913	657.284	267.886	159.538	399.016	207.420	170.980	321.693	163.808	-29.869	371.854	-150.914	19.882	374.109	-109.883	-9.849	396.514	-109.546	14.167	497.195	-173.869	27.523	370.964	-249.899	36.337	365.734	-266.867	6.682	398.724	-781.459	193.459	490.022	-749.574	190.647
1367	22.76667	634.938	267.211	220.045	631.939	278.519	163.768	657.613	267.703	159.349	399.352	205.179	172.178	320.087	156.844	-26.628	372.284	-157.207	29.232	373.937	-116.021	-0.586	397.372	-115.410	22.153	498.179	-178.931	34.145	370.481	-255.436	46.618	364.540	-273.025	17.044	398.618	-781.643	193.370	490.020	-749.578	190.658
1368	22.78333	635.413	266.998	219.952	632.257	278.196	163.660	658.004	267.570	159.266	399.758	202.938	173.441	318.590	149.633	-23.123	372.725	-163.740	38.533	373.566	-122.480	8.369	397.502	-121.633	30.408	499.173	-184.263	40.570	369.936	-260.930	56.921	363.461	-279.271	27.595	398.633	-781.603	193.392	490.004	-749.593	190.632
1369	22.80000	636.161	266.712	219.921	632.587	277.958	163.598	658.386	267.384	159.155	400.240	200.668	174.749	317.180	142.209	-19.487	372.601	-169.933	47.198	373.071	-129.091	16.636	397.405	-128.033	38.338	499.483	-190.218	47.374	369.266	-266.516	67.106	362.453	-285.563	38.571	398.715	-781.492	193.447	490.031	-749.561	190.653
1370	22.81667	636.701	266.550	219.819	633.013	277.683	163.493	658.778	267.154	158.952	400.715	198.338	176.088	315.861	134.592	-15.685	372.349	-176.261	55.646	372.563	-135.807	24.593	397.126	-134.539	45.987	499.395	-196.648	54.528	368.157	-272.409	76.973	361.346	-291.890	49.305	398.614	-781.592	193.389	490.027	-749.563	190.665
1371	22.83333	637.228	266.394	219.688	633.537	276.614	162.663	659.211	267.039	158.848	401.134	195.904	177.431	314.722	126.915	-11.745	372.126	-182.775	64.056	372.137	-142.525	32.735	396.934	-141.176	53.899	499.303	-203.252	61.634	367.299	-278.541	86.039	359.727	-298.235	58.914	398.723	-781.473	193.453	490.020	-749.572	190.655
1372	22.85000	637.665	266.218	219.624	633.785	276.327	162.565	659.525	266.867	158.735	401.566	193.287	178.743	313.765	119.337	-7.883	372.071	-189.641	72.431	371.999	-150.037	41.560	396.959	-148.251	61.963	499.406	-209.733	68.710	366.550	-285.066	94.406	357.486	-304.416	68.002	398.693	-781.519	193.427	490.023	-749.571	190.644
1373	22.86667	638.006	266.021	219.586	633.955	276.020	162.482	659.772	266.743	158.616	402.020	190.470	180.149	312.873	111.775	-3.783	372.133	-196.739	80.816	371.561	-156.654	49.762	396.770	-155.233	70.228	499.709	-216.003	75.638	366.269	-291.958	102.663	356.586	-311.358	76.737	398.714	-781.454	193.455	490.012	-749.588	190.641
