NO_OF_FRAMES	2734
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:51:16	6281.31358754
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Hand top	Hand right	Hand left	Thumb	Index	Middle	Back top	Back right	Back left	Box back	Box left
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Hand top X	Hand top Y	Hand top Z	Hand right X	Hand right Y	Hand right Z	Hand left X	Hand left Y	Hand left Z	Thumb X	Thumb Y	Thumb Z	Index X	Index Y	Index Z	Middle X	Middle Y	Middle Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	
690	11.48333	477.630	335.852	153.909	428.860	335.450	-73.206	373.477	249.861	-421.439	379.923	278.013	-379.630	390.883	247.648	-374.278	464.782	201.861	-454.016	400.679	227.433	-522.201	389.909	256.593	-535.085	714.002	359.269	221.976	714.598	371.231	165.745	740.419	360.031	163.691	514.109	-787.040	192.420	607.653	-748.118	183.395
691	11.50000	476.921	334.568	154.861	428.039	335.944	-72.195	373.499	250.782	-420.729	379.722	278.942	-378.827	390.699	248.601	-373.449	465.233	203.503	-453.142	401.457	228.423	-521.482	390.348	257.512	-534.347	713.135	358.224	222.464	713.672	370.212	166.212	739.541	359.133	164.171	514.129	-787.065	192.395	607.654	-748.085	183.395
692	11.51667	476.142	333.306	155.763	427.169	336.379	-71.260	373.392	250.537	-419.565	379.503	278.857	-377.861	390.418	249.068	-373.298	465.429	203.863	-452.022	401.726	228.233	-520.297	390.419	257.102	-533.281	712.223	357.153	222.927	712.710	369.217	166.732	738.626	358.290	164.627	514.080	-787.085	192.406	607.649	-748.088	183.394
693	11.53333	475.366	332.105	156.656	426.189	336.833	-70.241	373.148	249.146	-418.015	379.414	277.753	-376.434	390.437	248.030	-371.837	465.238	202.455	-450.504	401.415	226.629	-518.843	389.803	255.044	-531.829	711.311	356.140	223.332	711.753	368.263	167.114	737.726	357.420	165.037	514.122	-787.044	192.413	607.653	-748.076	183.405
694	11.55000	474.530	330.827	157.546	425.087	337.257	-69.284	372.726	246.361	-415.961	379.257	275.331	-374.762	390.401	245.736	-369.962	464.912	199.523	-448.644	400.646	223.413	-516.802	388.602	251.532	-529.931	710.418	355.177	223.587	710.779	367.302	167.418	736.829	356.595	165.289	514.131	-787.052	192.411	607.658	-748.079	183.407
695	11.56667	473.658	329.637	158.362	423.967	337.704	-68.365	372.140	241.963	-413.474	379.012	271.589	-372.685	390.448	241.609	-366.733	464.151	194.728	-445.901	399.480	218.340	-514.218	386.874	246.106	-527.563	709.438	354.219	223.872	709.746	366.335	167.667	735.834	355.774	165.614	514.080	-787.073	192.418	607.660	-748.071	183.401
696	11.58333	472.835	328.547	159.148	422.796	337.999	-67.482	371.386	236.113	-410.417	378.610	266.608	-370.332	390.115	236.640	-363.774	462.972	187.882	-442.270	397.911	210.866	-510.946	385.070	238.179	-524.666	708.483	353.255	224.153	708.717	365.392	167.956	734.901	354.996	165.856	514.179	-786.937	192.467	607.644	-748.078	183.390
697	11.60000	472.099	327.476	159.774	421.562	338.164	-66.526	370.470	228.816	-406.798	377.998	260.430	-367.705	389.692	230.617	-360.331	461.571	179.565	-437.941	396.341	200.859	-506.844	383.442	227.700	-521.262	707.643	352.412	224.405	707.857	364.626	168.251	734.045	354.260	166.162	514.094	-787.078	192.400	607.647	-748.090	183.382
698	11.61667	471.540	326.467	160.313	420.157	338.113	-65.603	369.638	220.051	-402.599	377.493	252.883	-364.530	389.248	223.175	-356.269	460.171	169.964	-432.948	394.738	188.920	-501.803	381.859	215.407	-517.022	706.943	351.697	224.723	707.122	363.948	168.536	733.342	353.624	166.417	514.136	-787.033	192.427	607.637	-748.089	183.384
699	11.63333	470.990	325.475	160.882	418.614	337.934	-64.621	368.990	209.680	-397.662	376.878	243.792	-360.730	388.887	214.325	-351.569	459.170	159.183	-427.061	393.509	175.569	-495.878	380.338	201.695	-511.850	706.268	350.953	224.968	706.398	363.195	168.792	732.648	352.996	166.734	514.150	-786.988	192.451	607.646	-748.078	183.396
700	11.65000	470.420	324.408	161.420	417.023	337.722	-63.612	368.499	197.806	-391.676	376.306	233.213	-355.984	388.660	204.216	-346.022	458.882	147.200	-420.169	392.808	160.864	-488.898	379.244	186.395	-505.629	705.604	350.222	225.188	705.726	362.505	169.029	732.022	352.340	166.929	514.134	-787.024	192.416	607.656	-748.060	183.400
701	11.66667	469.812	323.276	161.874	415.453	337.464	-62.594	368.090	184.515	-384.463	375.841	221.267	-350.163	388.589	192.956	-339.655	459.660	134.492	-412.960	392.394	144.822	-480.783	378.061	169.499	-497.994	704.944	349.574	225.335	705.045	361.870	169.181	731.417	351.865	167.111	514.106	-787.098	192.375	607.659	-748.064	183.396
702	11.68333	469.212	322.093	162.305	413.854	336.850	-61.568	367.677	170.066	-375.922	375.473	208.318	-343.290	388.523	180.805	-332.017	460.711	120.347	-404.330	391.538	127.290	-471.004	376.511	150.926	-488.877	704.308	349.022	225.481	704.385	361.364	169.312	730.760	351.439	167.275	514.137	-787.063	192.401	607.639	-748.087	183.368
703	11.70000	468.726	320.975	162.650	412.249	335.789	-60.498	367.401	154.851	-366.076	375.318	194.686	-335.417	390.411	166.523	-321.768	459.706	103.575	-391.473	390.460	108.163	-459.605	374.792	130.570	-478.155	703.737	348.603	225.513	703.825	360.973	169.402	730.272	351.159	167.331	514.075	-787.077	192.404	607.650	-748.063	183.374
704	11.71667	468.055	320.279	163.323	410.648	334.318	-59.496	367.284	138.971	-355.154	375.291	180.425	-326.834	390.377	154.319	-314.319	460.068	87.535	-379.981	389.239	87.521	-446.342	373.018	108.902	-465.828	703.335	348.258	225.531	703.375	360.597	169.376	729.903	350.914	167.352	514.154	-786.995	192.444	607.641	-748.071	183.384
705	11.73333	467.734	319.278	163.424	409.121	332.491	-58.604	367.548	122.625	-343.236	375.588	165.636	-317.263	390.919	140.333	-303.524	461.169	71.071	-367.115	388.418	65.897	-431.293	371.749	86.402	-451.901	703.044	347.976	225.525	703.038	360.227	169.305	729.580	350.625	167.328	514.166	-786.982	192.448	607.645	-748.077	183.390
706	11.75000	467.492	318.342	163.439	407.633	330.453	-57.912	368.157	105.817	-330.144	376.089	150.341	-306.774	391.735	126.016	-291.761	462.675	54.205	-352.622	388.548	43.397	-414.760	371.429	63.755	-436.145	702.808	347.723	225.430	702.812	359.922	169.203	729.389	350.360	167.203	514.133	-787.009	192.432	607.656	-748.049	183.370
