NO_OF_FRAMES	2237
NO_OF_CAMERAS	7
NO_OF_MARKERS	13
FREQUENCY	60
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-11-12, 11:33:37	5222.67107833
DATA_INCLUDED	3D
MARKER_NAMES	Box back	Box left	Middle	Index	Thumb	Hand top	Hand left	Hand right	Elbow	Shoulder	Back top	Back right	Back left
Frame	Time	Box back X	Box back Y	Box back Z	Box left X	Box left Y	Box left Z	Middle X	Middle Y	Middle Z	Index X	Index Y	Index Z	Thumb X	Thumb Y	Thumb Z	Hand top X	Hand top Y	Hand top Z	Hand left X	Hand left Y	Hand left Z	Hand right X	Hand right Y	Hand right Z	Elbow X	Elbow Y	Elbow Z	Shoulder X	Shoulder Y	Shoulder Z	Back top X	Back top Y	Back top Z	Back right X	Back right Y	Back right Z	Back left X	Back left Y	Back left Z	
1007	16.76667	531.928	-780.251	192.918	619.956	-742.506	190.192	429.112	-3.666	-550.720	435.236	-32.237	-543.760	502.125	-39.036	-494.030	426.953	-1.248	-437.432	449.724	2.060	-393.636	430.312	26.401	-392.881	498.218	129.854	-176.166	485.173	99.623	76.837	717.650	146.249	171.005	728.776	150.720	114.663	755.009	141.166	118.473
1008	16.78333	531.894	-780.318	192.902	619.957	-742.465	190.202	430.665	-4.911	-550.797	437.254	-33.307	-543.707	503.912	-39.341	-493.616	428.043	-1.860	-437.627	450.508	1.546	-393.639	430.991	25.771	-393.050	497.976	130.126	-176.296	485.083	99.621	76.814	717.404	146.440	170.974	728.514	150.919	114.659	754.785	141.391	118.475
1009	16.80000	531.930	-780.289	192.909	619.958	-742.469	190.217	431.829	-6.657	-550.509	438.837	-35.010	-543.276	505.376	-40.040	-493.057	429.096	-2.941	-437.335	451.361	0.855	-393.376	431.596	24.897	-392.893	497.702	130.585	-176.488	484.954	99.649	76.801	717.124	146.633	170.929	728.265	151.123	114.643	754.547	141.617	118.454
1010	16.81667	531.934	-780.285	192.906	619.948	-742.496	190.188	433.068	-8.710	-549.857	440.142	-36.945	-542.426	506.393	-41.205	-492.242	429.840	-4.385	-436.737	452.141	-0.020	-392.781	432.197	23.863	-392.498	497.352	131.240	-176.687	484.827	99.769	76.790	716.851	146.866	170.928	728.023	151.331	114.669	754.282	141.854	118.443
1011	16.83333	531.931	-780.251	192.920	619.950	-742.479	190.192	434.094	-11.109	-548.893	441.224	-39.167	-541.344	507.151	-42.827	-491.139	430.491	-5.997	-435.850	452.789	-1.025	-391.983	432.720	22.695	-392.051	496.926	132.049	-176.929	484.715	99.971	76.819	716.568	147.064	170.927	727.726	151.533	114.633	754.009	142.123	118.456
1012	16.85000	531.943	-780.229	192.937	619.955	-742.506	190.176	435.085	-13.730	-547.742	442.201	-41.675	-539.927	507.853	-44.800	-489.672	431.019	-7.748	-434.801	453.376	-2.156	-390.986	433.222	21.498	-391.341	496.496	133.078	-177.165	484.667	100.221	76.841	716.276	147.258	170.915	727.446	151.733	114.609	753.773	142.389	118.429
1013	16.86667	531.944	-780.215	192.921	619.952	-742.499	190.187	436.291	-16.912	-546.174	443.286	-44.614	-538.081	508.446	-47.337	-487.718	431.501	-9.716	-433.336	453.850	-3.255	-389.697	433.685	20.338	-390.584	496.142	134.333	-177.452	484.619	100.614	76.874	715.994	147.438	170.885	727.191	151.961	114.601	753.535	142.634	118.426
1014	16.88333	531.900	-780.317	192.906	619.976	-742.474	190.198	438.037	-20.846	-544.148	444.512	-48.171	-535.776	508.878	-50.275	-485.350	431.903	-12.013	-431.439	454.415	-4.396	-388.062	434.202	19.055	-389.477	495.882	135.829	-177.748	484.536	101.064	76.945	715.733	147.613	170.898	726.925	152.157	114.590	753.302	142.891	118.449
1015	16.90000	531.951	-780.262	192.919	619.955	-742.480	190.192	439.154	-25.205	-541.289	445.569	-52.352	-532.725	509.240	-53.475	-482.802	432.400	-14.811	-428.959	455.146	-5.805	-385.994	434.827	17.454	-388.029	495.577	137.722	-178.152	484.422	101.496	77.001	715.482	147.813	170.886	726.668	152.339	114.573	753.052	143.148	118.455
1016	16.91667	531.934	-780.285	192.906	619.956	-742.488	190.202	440.046	-29.816	-537.953	446.247	-56.823	-529.224	509.628	-56.834	-480.156	432.959	-18.226	-425.743	456.250	-7.663	-383.456	435.639	15.230	-385.957	495.054	139.892	-178.667	484.240	102.074	77.100	715.221	148.007	170.871	726.387	152.517	114.572	752.811	143.378	118.431
